Mouse ID,sex,timepoint (month),treatment,Ferritin (ng/ml),HAMP1 (cDNA/ng),Hepcidin (ng/ml),Plasma Heme (µM),Haptoglobin (ng/ml),Hemopexin (ng/ml),P50 (mm Hg),Round cell half-life (minutes),RBC (10^6/uL),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),MCHC-O (g/dL),RDW (%),RET%,ARC (10^6/uL),Ret-He (pg),hepatic necrosis (yes/no),iron deposition score (0-4) (spleen),iron deposition score (0-4) (liver),iron deposition score (0-4)(kidney),,,
308,M,2,sufficient,7180.625,197.72,151.5907151,169.503094,57451.12835,55566.31751,NA,135.4,5.78,5.1,25.3,43.8,8.8,20.2,26.5,33.2,52.63,3.04,13.8,Y,3,2,3,,,
309,M,2,sufficient,23329.97,63.444,51.77178629,267.792137,42290.97205,25945.84609,NA,226.5,6.19,5.8,28.2,45.6,9.4,20.6,24.5,29,55.06,3.4,13.3,Y,3,3,3,,,
310,M,2,sufficient,13271.77,211.867,202.2884495,97.8340007,59594.10336,116246.4539,NA,184.4,6.12,5.8,27.3,44.6,9.5,21.2,25.3,33,44.91,2.74,13.8,Y,3,3,2,,,
311,M,2,sufficient,9386.161,100.198,131.4542836,159.264652,41923.32382,55923.25301,NA,258.6,5.49,5.2,25.1,45.7,9.5,20.7,27.9,NA,48.06,2.63,14,Y,,,,,,
312,M,2,sufficient,12509.63,309.383,158.584673,101.929378,57257.33695,74542.55123,NA,258.7,6.71,5.8,30.4,45.3,8.6,19.1,24,31,60.48,4,13,N,,,,,,
293,M,4,sufficient,8482.54,216.272,249.3686404,194.075355,56966.96975,25924.1353,NA,89.8,5.66,5.2,24.6,43.5,9.2,21.1,26,31.3,46.44,2.62,13.3,Y,4,4,4,,,
294,M,4,sufficient,9934.55,303.931,234.6145435,331.270477,38339.77384,28709.40887,NA,104.5,6.2,5.7,27.2,43.9,9.2,21,25.4,30,48.31,2.99,13.2,Y,3,3,3,,,
295,M,4,sufficient,11453.18,436.254,271.3288884,193.392792,22661.23759,19286.39522,NA,116.0,7.77,6.2,29.4,37.8,8,21.1,26.5,38.4,38.42,2.98,12.3,N,,,,,,
296,M,4,sufficient,12930.27,502.561,792.0337549,325.127412,59105.24822,39281.55466,NA,87.1,7.21,6.7,30.3,42,9.3,22.1,27.4,26.3,46.87,3.37,12.6,Y,4,4,3,,,
297,M,4,sufficient,15611.93,673.39,341.5177682,226.838369,32401.27792,34280.61477,NA,108.3,5.31,5,24.2,45.6,9.4,20.7,24.4,30.4,49.3,2.61,13.3,N,,,,,,
243,M,6,sufficient,8227.49,384.615,174.94936,167.455406,51656.06531,57206.1875,26.47,138.4,6.9,6.3,28,40.6,9.1,22.5,29.3,33,39.73,2.74,13.8,N,,,,,,
244,M,6,sufficient,4789.65,121.604,228.4721664,154.486713,32778.68699,43477.13952,26.38,211.9,6.42,5.7,26.9,41.9,8.9,21.2,26.8,32.6,42.9,2.75,13.2,N,,,,,,
245,M,6,sufficient,9844.25,110.626,216.8785467,198.853295,59789.94467,65912.23595,28.07,145.5,6.25,5.8,25.4,40.6,9.3,22.8,28.7,30.8,40.38,2.52,13.5,Y,3,3,4,,,
246,M,6,sufficient,3493.87,NA,105.9875309,174.281034,38048.6094,94757.61496,NA,NA,7.29,6.9,30.1,41.3,9.5,22.9,27.6,29.1,40.2,2.93,13.5,NA,,,,,,
247,M,6,sufficient,5315.72,293.407,171.9000293,215.234802,70518.01977,74332.36679,26.08,268.4,7.41,6.9,31.3,42.2,9.3,22,28.1,35.4,40.17,2.97,14,Y,4,4,3,,,
275,M,6,sufficient,NA,164.927,NA,NA,NA,NA,28.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,4,4,4,,,
313,M,2,Deficient,3227.874,4.317,29.27608535,226.838369,54945.14013,51737.299,NA,254.1,5.09,4.7,24.7,48.5,9.2,19,21.9,40.8,55.6,2.83,12.7,Y,,,,,,
314,M,2,Deficient,4644.319,2.288,36.94926668,227.520932,45742.81009,101107.5396,NA,220.7,6.35,5.6,28.3,44.6,8.8,19.8,23.7,39.9,51.47,3.26,13.1,Y,,,,,,
315,M,2,Deficient,17221.85,0.876,42.49078369,164.042592,56290.93859,59874.77515,NA,171.5,6.82,6.2,29.5,43.3,9.1,21,25.4,35.8,47.71,3.25,13.5,Y,1,1,0,,,
316,M,2,Deficient,6301.922,6.017,28.54832638,118.310885,67561.61879,103450.7093,NA,329.5,5.63,5,24.3,43.2,8.9,20.6,24.3,34.8,49.86,2.8,12.9,N,1,1,0,,,
317,M,2,Deficient,6472.182,1.168,32.87813508,126.501638,58525.67072,52582.88937,NA,364.9,5.86,5,27.1,46.2,8.5,18.5,22.5,36.7,59.83,3.5,12.6,N,1,1,0,,,
288,M,4,Deficient,4683.1,0.274,18.30500781,131.279578,22016.38255,21636.3939,NA,128.2,4.5,4.1,19.9,44.2,9.1,20.6,26.1,25.7,52.93,2.38,13,N,1,1,0,,,
289,M,4,Deficient,5510.48,26.013,33.66849,168.137969,45871.16404,33437.46203,NA,117.9,5.16,4.6,22.9,44.4,8.9,20.1,25.8,31.3,52.58,2.71,13.3,N,2,2,2,,,
290,M,4,Deficient,3452.62,79.449,70.70800,125.136513,34863.25766,53674.48122,NA,193.5,4.76,4.1,21.7,45.6,8.6,18.9,23.5,30,58.24,2.77,12.3,NA,,,,,,
291,M,4,Deficient,3503.07,0.595,36.94926668,173.598471,22337.9414,16561.82569,NA,115.5,6.45,5.6,27.2,42.2,8.7,20.6,25.4,39.7,46.54,3,12.9,Y,,,,,,
292,M,4,Deficient,3040.16,69.678,63.26723223,129.914452,38515.01435,36905.71171,NA,106.6,5.9,5,25.1,42.5,8.5,19.9,24.7,33.3,48.91,2.88,12.5,N,2,2,2,,,
248,M,6,Deficient,4660.91,41.684,17.14992311,116.263196,49414.5676,45259.83485,26.45,169.7,6.14,5.1,25.2,41,8.3,20.2,27,37.5,50,3.07,12.8,Y,,,,,,
249,M,6,Deficient,3092.06,1.667,0.751340916,125.136513,23172.804,21482.21011,25.79,388.1,7.13,6.1,28,39.3,8.6,21.8,27.5,40.5,37.03,2.64,13.2,Y,,,,,,
250,M,6,Deficient,5744.99,0.187,14.65563588,117.628322,19242.92039,21520.70269,24.52,453.2,6.9,5.7,25.9,37.5,8.3,22,27.8,39.4,35.15,2.45,12.8,N,1,1,0,,,
251,M,6,Deficient,6464.68,1.197,21.01561546,146.295959,29094.17241,70844.64923,24.39,193.1,6.35,5.2,24.9,39.2,8.2,20.9,25.4,NA,40.55,2.57,13,N,1,0,0,,,
253,M,6,Deficient,11184.02,1.514,6.715853159,114.898071,27075.69759,14073.66431,23.39,477.0,5.61,5,24.4,43.5,8.9,20.5,25.4,31.8,45.22,2.53,13,Y,1,1,0,,,
303,F,2,sufficient,9494.726,526.806,201.0327998,319.666909,34918.94139,25707.79641,NA,255.1,6.64,5.8,29,43.7,8.7,20,25.5,34.7,48.95,3.2,13,Y,4,4,3,,,
304,F,2,sufficient,4649.844,132.771,82.63989955,263.014197,26334.55359,18376.92957,NA,221.6,5.43,5.5,27.6,50.8,10.1,19.9,22.8,29.6,56.26,3,14.1,Y,4,3,3,,,
305,F,2,sufficient,6179.13,242.108,147.4245815,439.797961,28736.46563,28309.66643,NA,172.3,6.89,6.4,30.2,43.8,9.3,21.2,27.5,31.8,51.32,3.5,13.2,Y,4,3,3,,,
306,F,2,sufficient,4967.662,226.041,322.7560878,258.236258,22986.27917,23051.26875,NA,330.8,6.57,6.3,28.5,43.4,9.6,22.1,26.7,30.5,44.9,2.94,13.8,Y,,,,,,
307,F,2,sufficient,9519.094,396.839,149.9060163,244.585002,25166.28153,16053.38361,NA,366.2,6.62,6.3,30.2,45.6,9.5,20.9,25.5,32,48.9,3.23,13.6,Y,,,,,,
283,F,4,sufficient,5242.02,261.994,135.0488698,142.883145,36495.62754,42740.20257,NA,76.3,6.14,5.4,26.1,42.5,8.8,20.7,25.3,34.8,42.2,2.59,13.3,Y,4,4,3,,,
284,F,4,sufficient,7663.66,137.461,100.6870571,228.203495,25166.28153,23656.49768,NA,98.1,7.02,6.1,29.9,42.6,8.7,20.4,25.8,36,45.34,3.18,13.7,Y,4,4,4,,,
285,F,4,sufficient,10703.37,203.135,148.2457322,248.680379,40110.65875,30562.66521,NA,131.8,6.31,5.9,29,46,9.4,20.3,24.8,31.6,46.92,2.96,13.9,Y,4,4,3,,,
286,F,4,sufficient,5260.36,113.89,193.7272533,119.67601,46322.00021,34081.68388,NA,105.3,6.76,6.4,29.5,43.6,9.5,21.7,24.7,28.8,46.87,3.16,13.9,Y,,,,,,
287,F,4,sufficient,6427.3,199.913,133.5963907,306.015653,40290.02634,23031.26176,NA,107.2,6.45,5.8,29.3,45.4,9,19.8,25.3,33.5,56.7,3.65,13.6,Y,,,,,,
233,F,6,sufficient,6093.95,438.268,499.2130216,127.866764,47952.63598,40003.22069,28.52,239.4,6.81,6.1,27.7,40.7,9,22,27.4,36.1,42.03,2.86,13.4,Y,4,4,3,,,
234,F,6,sufficient,12344.02,290.168,563.6112658,152.439024,37124.4154,35503.7535,27.918,293.9,7.15,6.2,29.6,41.4,8.7,20.9,28.7,34,47.05,3.36,13.4,Y,3,4,3,,,
235,F,6,sufficient,18039.47,257.166,353.0402277,105.342191,39991.31251,21927.04846,26.957,195.9,6.4,5.5,26.9,42,8.6,20.4,26.8,33.5,46.92,3,13.1,Y,4,4,4,,,
236,F,6,sufficient,47384.76,840.321,222.5645465,195.440481,36381.87498,21539.96226,27.792,201.2,7.14,6.7,29.9,41.9,9.4,22.4,28.4,31.8,41.68,2.97,14,N,,,,,,
237,F,6,sufficient,9470.45,392.875,231.5131492,187.249727,31892.31019,23131.40265,28.565,176.6,5.76,5.4,25.1,43.6,9.4,21.5,26.3,33,47.63,2.74,13.6,Y,,,,,,
271,F,6,sufficient,NA,613.1376804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
298,F,2,Deficient,2099.413,0.871,66.21858998,245.267565,24256.51182,16298.4989,NA,357.1,6.24,6.2,28.7,46,9.9,21.6,26.5,28.5,46.16,2.88,13.9,Y,,,,,,
299,F,2,Deficient,2220.504,79.5,73.24393976,342.874044,35422.02864,34711.54167,NA,227.5,7.33,7.1,32.3,44.1,9.7,22,26.6,36.4,40.99,3,14.3,Y,,,,,,
300,F,2,Deficient,3675.636,2.141,78.19189019,297.8249,30544.31655,20965.94802,NA,185.2,6.29,6.3,29.3,46.4,10,21.6,26.4,31.2,48.83,3.07,14.2,Y,2,1,0,,,
301,F,2,Deficient,3746.912,78.67,73.98455391,298.507463,32670.64892,22653.10723,NA,259.6,6.46,6.4,29.2,45.2,9.9,21.9,26,31.8,44.96,2.9,13.6,N,2,1,0,,,
302,F,2,Deficient,3393.472,0.477,38.66498851,245.267565,39338.21209,18304.80058,NA,259.8,6.01,5.7,26.3,43.8,9.5,21.7,27,29.5,43.15,2.59,13.4,N,1,1,0,,,
278,F,4,Deficient,7474.72,29.508,42.25865288,111.485257,45167.71304,31044.19713,NA,118.3,5.98,5.6,26.8,44.8,9.4,20.9,25.7,30.8,49.38,2.95,14.2,N,2,2,2,,,
279,F,4,Deficient,10732.47,43.328,44.14165372,80.087368,34918.94139,17410.13997,NA,117.4,5,4.7,22.6,45.2,9.4,20.8,26.5,30.5,51.57,2.57,14.1,N,2,2,1,,,
280,F,4,Deficient,6065.83,89.465,47.83924806,129.914452,28532.92024,17802.26799,NA,120.4,6.62,5.9,27.6,41.7,8.9,21.4,25.7,36.3,43.22,2.86,13.5,N,2,2,2,,,
281,F,4,Deficient,2748.44,0.599,30.76289421,185.884601,40349.90856,40994.67456,NA,105.5,6.02,5.6,26.4,43.9,9.3,21.2,26.5,29.3,45.93,2.76,13.9,Y,,,,,,
282,F,4,Deficient,5838.76,53.78,43.42852242,161.312341,27875.68307,23534.66076,NA,108.3,4.87,4.6,22.2,45.6,9.4,20.7,23.9,29.6,51.36,2.5,13.7,Y,,,,,,
238,F,6,Deficient,3911.45,11.33,29.4596354,140.152894,32535.83427,26076.40789,26.264,241.9,6.34,5.9,28.7,45.3,9.3,20.6,25.4,36.9,48.1,3.05,13.6,Y,1,1,0,,,
239,F,6,Deficient,4161.49,49.866,55.38745405,155.851838,46515.97927,20946.94545,27.326,248.6,5.81,5,23.5,40.4,8.6,21.3,27.7,29.5,43.04,2.5,13,Y,,,,,,
240,F,6,Deficient,6900.08,1.489,23.40019331,172.915908,20859.55707,17712.94692,27.44,209.9,5.74,5.4,24.9,43.4,9.4,21.7,26.5,31.5,41.86,2.4,13.7,N,1,1,0,,,
241,F,6,Deficient,2992.91,70.917,47.08161012,168.137969,35198.00387,37030.916,25.163,298.4,7.07,6.1,30.4,43,8.6,20.1,26.6,37.1,44.67,3.15,12.9,Y,,,,,,
242,F,6,Deficient,NA,10.336,NA,NA,NA,NA,26.847,212.1,6.02,5.7,25.6,42.5,9.5,22.3,27,34,39.42,2.37,13.3,N,1,1,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,